AMD Predictions:
Image # 	 Classifications 	 Distances
A1 		 -1 			 0.706578
A5 		 -1 			 1.42095
A9 		 -1 			 1.42095
A13 		 -1 			 0.654782
A17 		 -1 			 0.41493
A21 		 -1 			 1.95561
A25 		 -1 			 0.986472
A29 		 -1 			 1.96411
A33 		 -1 			 1.03821
A37 		 -1 			 0.684779
A41 		 -1 			 0.589977
A45 		 -1 			 0.800527
A49 		 -1 			 0.135472
A53 		 -1 			 0.199117
A57 		 -1 			 1.60611
A61 		 -1 			 0.541884
A65 		 -1 			 0.37195
A69 		 -1 			 0.894503
A73 		 -1 			 0.26746
A77 		 1 			 -0.255892
A81 		 1 			 -1.11267
A85 		 -1 			 1.73686
A89 		 -1 			 0.288181
A93 		 -1 			 0.0695126
A97 		 -1 			 0.770352
A101 		 1 			 -0.0474893

Normal Predictions:
Image # 	 Classifications 	 Distances
N1 		 -1 			 0.0741515
N5 		 1 			 -0.233365
N9 		 1 			 -0.388181
N13 		 1 			 -0.0718971
N17 		 1 			 -0.285463
N21 		 1 			 -0.252443
N25 		 1 			 -0.135233
N29 		 1 			 -0.337301
N33 		 1 			 -0.299234
N37 		 1 			 -0.260477
N41 		 1 			 -0.202699
N45 		 1 			 -0.359029
N49 		 1 			 -0.358344
N53 		 1 			 -0.220499
N57 		 1 			 -0.706517
N61 		 1 			 -0.211211
N65 		 1 			 -0.293819
N69 		 1 			 -0.291108
N73 		 1 			 -0.13443
N77 		 -1 			 0.176533
N81 		 1 			 -0.241898
N85 		 1 			 -0.053788
N89 		 1 			 -0.144121
N93 		 1 			 -0.145542
N97 		 -1 			 0.0254785
N101 		 1 			 -0.245123
N105 		 1 			 -0.326584
N109 		 -1 			 0.064024
N113 		 1 			 -0.261483
N117 		 1 			 -0.275885
N121 		 1 			 -0.158449
N125 		 1 			 -0.050097
N129 		 1 			 -0.100495
N133 		 1 			 -0.202943
N137 		 1 			 -0.278821
N141 		 1 			 -0.0941251
N145 		 1 			 -0.305105
N149 		 1 			 -0.392791
N153 		 1 			 -0.142828
N157 		 1 			 -0.338071
N161 		 1 			 -0.161049
N165 		 1 			 -0.245025
N169 		 1 			 -0.307059
N173 		 1 			 -0.266106
N177 		 -1 			 0.0318725
